applicant_id,applicant_name,ssn,email,street_address,zip,birth_date,region,annual_income,debt_to_income,credit_history_years,delinquencies_2y,employment_years,loan_amount,area_risk_score,collections_flag_post_decision,repaid
APP00001,Omar Smith,943-32-4986,omar.smith366@example.com,4103 Maple Ave,90483,1968-07-27,metro,70100.0,0.487,4.4,0,3.9,21500.0,35.6,1,0
APP00002,Carlos Patel,964-44-6739,carlos.patel724@example.com,2219 Lakeview Blvd,91118,1970-06-27,metro,69200.0,0.498,9.0,1,19.8,27300.0,23.5,0,1
APP00003,Daniel Davis,904-46-9179,daniel.davis364@example.com,4173 Maple Ave,90991,1961-12-24,metro,86500.0,0.414,10.2,0,9.7,20500.0,25.5,0,1
APP00004,Kevin Ali,969-90-7764,kevin.ali280@example.com,9660 Hillcrest Way,96007,1957-10-19,rural,52900.0,0.278,10.7,0,3.0,13700.0,66.9,1,0
APP00005,Linh Moore,989-17-8628,linh.moore673@example.com,2685 Oak St,90979,1960-09-22,metro,45600.0,0.41,15.8,1,3.2,21800.0,45.8,0,0
APP00006,Grace Brown,954-44-9754,grace.brown411@example.com,6026 Hillcrest Way,90437,1973-06-24,metro,64700.0,0.237,12.9,0,3.7,14200.0,28.4,0,1
APP00007,Alex Ali,972-47-3502,alex.ali743@example.com,694 Pine Rd,91843,1966-12-21,metro,45700.0,0.202,8.0,0,7.8,27800.0,33.2,0,1
APP00008,Carlos Ramirez,975-47-4136,carlos.ramirez808@example.com,510 Oak St,90684,1977-07-23,metro,67200.0,0.517,3.4,1,7.5,24200.0,16.8,0,1
APP00009,Aisha Davis,969-43-8145,aisha.davis500@example.com,1804 Elm Dr,90509,1950-09-20,metro,33400.0,0.577,19.2,0,4.4,11500.0,21.4,0,0
APP00010,Sofia Singh,941-51-7270,sofia.singh784@example.com,1771 Pine Rd,90683,1976-07-01,metro,67000.0,0.271,15.9,1,7.6,25700.0,29.2,1,1
